Transaction ID,Date,Time,Product Name,Category,Quantity,Sale Price,Cost Price,Staff Member,Revenue,Cost,Profit
TXN000027,2025-07-11,23:20,Margarita,Cocktails,1,10.8,3.35,Staff H,10.8,3.35,7.45
TXN000027,2025-07-11,23:20,Carlsberg,Beer,2,5.9,2.25,Staff H,11.8,4.5,7.3
TXN000028,2025-12-12,18:20,Guinness,Beer,4,5.9,2.15,Staff H,23.6,8.6,15.0
TXN000029,2025-01-04,01:30,Jagerbomb,Spirits,6,8.5,3.1,Staff A,51.0,18.6,32.4
TXN000029,2025-01-04,01:30,Guinness,Beer,1,5.9,2.15,Staff A,5.9,2.15,3.75
TXN000030,2025-12-11,22:40,Jagerbomb,Spirits,4,8.5,3.1,Staff F,34.0,12.4,21.6
TXN000030,2025-12-11,22:40,Hop House 13,Beer,4,6.1,2.4,Staff F,24.4,9.6,14.8
TXN000031,2025-01-04,01:15,Smirnoff Ice,Alcopops,2,6.3,2.7,Staff D,12.6,5.4,7.2
TXN000032,2025-03-26,18:20,Heineken,Beer,1,6.1,2.35,Staff I,6.1,2.35,3.75
TXN000032,2025-03-26,18:20,Guinness,Beer,1,5.9,2.15,Staff I,5.9,2.15,3.75
TXN000033,2025-11-05,21:55,Vodka Coke,Spirits,2,7.7,2.25,Staff H,15.4,4.5,10.9
TXN000034,2025-11-29,18:20,Birra Moretti,Beer,4,6.4,2.75,Staff A,25.6,11.0,14.6
TXN000034,2025-11-29,18:20,Jameson,Spirits,2,6.8,1.95,Staff A,13.6,3.9,9.7
TXN000035,2025-02-17,22:10,Blue WKD,Alcopops,1,6.2,2.65,Staff C,6.2,2.65,3.55
TXN000035,2025-02-17,22:10,Guinness,Beer,1,5.9,2.15,Staff C,5.9,2.15,3.75
TXN000035,2025-02-17,22:10,Vodka Red Bull,Spirits,1,8.8,3.0,Staff C,8.8,3.0,5.8
TXN000036,2025-01-25,20:00,Vodka White Lemonade,Spirits,2,7.6,2.2,Staff B,15.2,4.4,10.8
TXN000037,2025-01-05,12:20,Sambuca Shot,Spirits,1,6.8,1.9,Staff D,6.8,1.9,4.9
TXN000037,2025-01-05,12:20,Coors Light,Beer,2,6.0,2.35,Staff D,12.0,4.7,7.3
TXN000038,2025-07-26,19:15,Coke,Soft Drink,1,3.4,0.95,Staff F,3.4,0.95,2.45
TXN000038,2025-07-26,19:15,Guinness,Beer,5,5.9,2.15,Staff F,29.5,10.75,18.75
TXN000038,2025-07-26,19:15,Gin White Lemonade,Spirits,1,7.8,2.35,Staff F,7.8,2.35,5.45
TXN000038,2025-07-26,19:15,Aperol Spritz,Cocktails,2,10.5,3.15,Staff F,21.0,6.3,14.7
TXN000039,2025-07-19,00:10,Budweiser,Beer,1,6.0,2.35,Staff F,6.0,2.35,3.65
TXN000040,2025-12-13,23:20,Vodka White Lemonade,Spirits,1,7.6,2.2,Staff D,7.6,2.2,5.4
TXN000040,2025-12-13,23:20,Rockshore Lager,Beer,4,6.0,2.4,Staff D,24.0,9.6,14.4
TXN000041,2025-12-25,22:50,Rockshore Cider,Cider,3,6.4,2.55,Staff F,19.2,7.65,11.55
TXN000041,2025-12-25,22:50,Tequila Shot,Spirits,4,6.9,1.9,Staff F,27.6,7.6,20.0
TXN000042,2025-07-28,20:15,Madri,Beer,1,6.3,2.65,Staff F,6.3,2.65,3.65
TXN000043,2025-11-07,21:50,Tequila Shot,Spirits,2,6.9,1.9,Staff D,13.8,3.8,10.0
TXN000043,2025-11-07,21:50,Corona,Beer,1,6.4,2.8,Staff D,6.4,2.8,3.6
TXN000043,2025-11-07,21:50,Blue WKD,Alcopops,1,6.3,2.65,Staff D,6.3,2.65,3.65
TXN000044,2025-03-09,21:15,Sauvignon Blanc,Wine,2,8.2,3.2,Staff C,16.4,6.4,10.0
TXN000044,2025-03-09,21:15,Guinness,Beer,3,5.9,2.15,Staff C,17.7,6.45,11.25
TXN000045,2025-01-08,22:15,Tayto,Snacks,1,1.8,0.75,Staff G,1.8,0.75,1.05
TXN000046,2025-04-04,20:25,Diet Coke,Soft Drink,1,3.4,0.95,Staff D,3.4,0.95,2.45
TXN000047,2025-07-20,22:10,Vodka Red Bull,Spirits,2,8.8,3.0,Staff A,17.6,6.0,11.6
TXN000048,2025-11-15,13:05,West Coast Cooler,Alcopops,3,6.4,2.75,Staff B,19.2,8.25,10.95
TXN000049,2025-06-12,21:25,Aperol Spritz,Cocktails,2,10.5,3.15,Staff E,21.0,6.3,14.7
TXN000049,2025-06-12,21:25,Hop House 13,Beer,1,6.1,2.4,Staff E,6.1,2.4,3.7
TXN000050,2025-07-04,23:15,Blue WKD,Alcopops,4,6.3,2.65,Staff C,25.2,10.6,14.6
TXN000051,2025-12-27,21:35,Guinness,Beer,3,6.1,2.15,Staff H,18.3,6.45,11.85
TXN000052,2025-10-04,23:35,Rockshore Cider,Cider,1,6.2,2.55,Staff C,6.2,2.55,3.65
TXN000053,2025-12-05,20:55,Guinness,Beer,1,5.9,2.15,Staff C,5.9,2.15,3.75
TXN000053,2025-12-05,20:55,Beamish,Beer,1,5.8,2.05,Staff C,5.8,2.05,3.75
TXN000053,2025-12-05,20:55,Jagerbomb,Spirits,3,8.5,3.1,Staff C,25.5,9.3,16.2
TXN000053,2025-12-05,20:55,Salted Peanuts,Snacks,1,2.0,0.85,Staff C,2.0,0.85,1.15
TXN000054,2025-09-05,15:35,Guinness,Beer,2,5.9,2.15,Staff C,11.8,4.3,7.5
TXN000054,2025-09-05,15:35,Baby Guinness Shot,Spirits,2,6.8,2.1,Staff C,13.6,4.2,9.4
TXN000055,2025-03-07,23:25,Guinness,Beer,1,5.9,2.15,Staff D,5.9,2.15,3.75
TXN000056,2025-08-10,21:30,Bacon Fries,Snacks,1,2.0,0.85,Staff C,2.0,0.85,1.15
TXN000057,2025-12-12,20:30,Guinness,Beer,6,5.9,2.15,Staff C,35.4,12.9,22.5
TXN000058,2025-12-27,22:55,Blue WKD,Alcopops,3,6.3,2.65,Staff I,18.9,7.95,10.95
TXN000058,2025-12-27,22:55,Tequila Shot,Spirits,2,6.9,1.9,Staff I,13.8,3.8,10.0
TXN000059,2025-04-04,21:00,Rockshore Lager,Beer,2,6.0,2.4,Staff D,12.0,4.8,7.2
TXN000059,2025-04-04,21:00,Birra Moretti,Beer,3,6.4,2.75,Staff D,19.2,8.25,10.95
TXN000059,2025-04-04,21:00,Hot and Spicy Peanuts,Snacks,1,2.1,0.9,Staff D,2.1,0.9,1.2
TXN000059,2025-04-04,21:00,Tayto,Snacks,1,1.8,0.75,Staff D,1.8,0.75,1.05
TXN000059,2025-04-04,21:00,Dry Roasted Peanuts,Snacks,1,2.0,0.85,Staff D,2.0,0.85,1.15
TXN000060,2025-11-07,17:15,Rockshore Cider,Cider,3,6.2,2.55,Staff G,18.6,7.65,10.95
TXN000061,2025-02-25,21:20,7Up,Soft Drink,2,3.4,0.95,Staff E,6.8,1.9,4.9
TXN000062,2025-05-08,22:40,Smirnoff Ice,Alcopops,2,6.3,2.7,Staff F,12.6,5.4,7.2
TXN000063,2025-11-15,21:45,Baby Guinness Shot,Spirits,2,6.8,2.1,Staff C,13.6,4.2,9.4
TXN000063,2025-11-15,21:45,Rose Wine,Wine,3,7.5,2.9,Staff C,22.5,8.7,13.8
TXN000063,2025-11-15,21:45,Heineken,Beer,4,6.1,2.35,Staff C,24.4,9.4,15.0
TXN000063,2025-11-15,21:45,Tuborg,Beer,3,5.8,2.2,Staff C,17.4,6.6,10.8
TXN000063,2025-11-15,21:45,Corona,Beer,1,6.4,2.8,Staff C,6.4,2.8,3.6
TXN000063,2025-11-15,21:45,Guinness,Beer,1,5.9,2.15,Staff C,5.9,2.15,3.75
TXN000064,2025-10-24,00:00,Coors Light,Beer,1,6.0,2.35,Staff F,6.0,2.35,3.65
TXN000064,2025-10-24,00:00,Vodka White Lemonade,Spirits,1,7.6,2.2,Staff F,7.6,2.2,5.4
TXN000064,2025-10-24,00:00,Pornstar Martini,Cocktails,2,11.5,3.75,Staff F,23.0,7.5,15.5
TXN000064,2025-10-24,00:00,Vodka Coke,Spirits,1,7.6,2.25,Staff F,7.6,2.25,5.35
TXN000065,2025-12-13,00:10,Coors Light,Beer,1,6.0,2.35,Staff B,6.0,2.35,3.65
TXN000065,2025-12-13,00:10,Carlsberg,Beer,1,5.9,2.25,Staff B,5.9,2.25,3.65
TXN000065,2025-12-13,00:10,Guinness,Beer,1,5.9,2.15,Staff B,5.9,2.15,3.75
TXN000066,2025-02-15,20:00,Heineken,Beer,2,6.1,2.35,Staff A,12.2,4.7,7.5
TXN000067,2025-07-04,20:40,Guinness,Beer,1,5.8,2.15,Staff D,5.8,2.15,3.65
TXN000067,2025-07-04,20:40,Orange Juice,Soft Drink,2,3.7,1.15,Staff D,7.4,2.3,5.1
TXN000067,2025-07-04,20:40,Hop House 13,Beer,4,6.1,2.4,Staff D,24.4,9.6,14.8
TXN000068,2025-03-16,19:35,Tequila Shot,Spirits,1,6.9,1.9,Staff E,6.9,1.9,5.0
TXN000068,2025-03-16,19:35,Guinness,Beer,2,5.9,2.15,Staff E,11.8,4.3,7.5
TXN000069,2025-12-12,23:15,Red Bull,Soft Drink,1,4.2,1.55,Staff H,4.2,1.55,2.65
TXN000070,2025-09-06,00:45,Coors Light,Beer,2,5.9,2.35,Staff H,11.8,4.7,7.1
TXN000070,2025-09-06,00:45,Gin White Lemonade,Spirits,2,7.8,2.35,Staff H,15.6,4.7,10.9
TXN000071,2025-11-29,01:35,Coors Light,Beer,2,6.0,2.35,Staff B,12.0,4.7,7.3
TXN000072,2025-12-10,20:20,Espresso Martini,Cocktails,3,11.0,3.35,Staff A,33.0,10.05,22.95
TXN000073,2025-11-27,22:45,Bacon Fries,Snacks,1,2.0,0.85,Staff B,2.0,0.85,1.15
TXN000074,2025-02-01,19:25,Vodka Coke,Spirits,1,7.6,2.25,Staff B,7.6,2.25,5.35
TXN000074,2025-02-01,19:25,Vodka White Lemonade,Spirits,1,7.6,2.2,Staff B,7.6,2.2,5.4
TXN000075,2025-08-01,17:55,Orange Juice,Soft Drink,1,3.7,1.15,Staff E,3.7,1.15,2.55
TXN000076,2025-09-12,20:35,Guinness,Beer,1,5.9,2.15,Staff H,5.9,2.15,3.75
TXN000077,2025-08-15,22:45,Sambuca Shot,Spirits,5,6.8,1.9,Staff E,34.0,9.5,24.5
TXN000077,2025-08-15,22:45,Madri,Beer,3,6.3,2.65,Staff E,18.9,7.95,10.95
TXN000077,2025-08-15,22:45,Smirnoff Ice,Alcopops,1,6.3,2.7,Staff E,6.3,2.7,3.6
TXN000078,2025-11-05,20:30,Budweiser,Beer,1,6.0,2.35,Staff A,6.0,2.35,3.65
TXN000078,2025-11-05,20:30,Coke,Soft Drink,2,3.4,0.95,Staff A,6.8,1.9,4.9
TXN000079,2025-08-08,00:30,Vodka Coke,Spirits,3,7.7,2.25,Staff A,23.1,6.75,16.35
TXN000079,2025-08-08,00:30,Madri,Beer,1,6.3,2.65,Staff A,6.3,2.65,3.65
TXN000079,2025-08-08,00:30,Salted Peanuts,Snacks,1,2.0,0.85,Staff A,2.0,0.85,1.15
TXN000080,2025-08-07,20:25,House White Wine,Wine,1,7.2,2.7,Staff H,7.2,2.7,4.5
TXN000080,2025-08-07,20:25,Guinness,Beer,1,5.9,2.15,Staff H,5.9,2.15,3.75
TXN000080,2025-08-07,20:25,Jameson,Spirits,2,6.8,1.95,Staff H,13.6,3.9,9.7
TXN000080,2025-08-07,20:25,Tuborg,Beer,2,5.8,2.2,Staff H,11.6,4.4,7.2
TXN000081,2025-07-17,18:25,Smirnoff Ice,Alcopops,1,6.3,2.7,Staff H,6.3,2.7,3.6
TXN000082,2025-07-27,20:35,Guinness,Beer,1,5.9,2.15,Staff D,5.9,2.15,3.75
TXN000082,2025-07-27,20:35,Coors Light,Beer,1,6.0,2.35,Staff D,6.0,2.35,3.65
TXN000082,2025-07-27,20:35,Rockshore Cider,Cider,2,6.2,2.55,Staff D,12.4,5.1,7.3
TXN000083,2025-03-01,21:40,Smirnoff Ice,Alcopops,2,6.3,2.7,Staff C,12.6,5.4,7.2
TXN000083,2025-03-01,21:40,Gin White Lemonade,Spirits,2,7.8,2.35,Staff C,15.6,4.7,10.9
TXN000084,2025-12-07,22:10,Rockshore Lager,Beer,1,6.0,2.4,Staff E,6.0,2.4,3.6
TXN000084,2025-12-07,22:10,Sambuca Shot,Spirits,1,6.8,1.9,Staff E,6.8,1.9,4.9
TXN000085,2025-03-01,21:30,Vodka Coke,Spirits,1,7.6,2.25,Staff E,7.6,2.25,5.35
TXN000086,2025-12-20,00:10,Guinness,Beer,1,5.9,2.15,Staff D,5.9,2.15,3.75
TXN000086,2025-12-20,00:10,Blue WKD,Alcopops,5,6.5,2.65,Staff D,32.5,13.25,19.25
TXN000086,2025-12-20,00:10,Smirnoff Ice,Alcopops,1,6.3,2.7,Staff D,6.3,2.7,3.6
TXN000087,2025-12-05,23:45,Coors Light,Beer,1,6.0,2.35,Staff H,6.0,2.35,3.65
TXN000087,2025-12-05,23:45,Madri,Beer,5,6.3,2.65,Staff H,31.5,13.25,18.25
TXN000088,2025-07-01,18:20,Beamish,Beer,4,5.8,2.05,Staff C,23.2,8.2,15.0
TXN000089,2025-01-24,20:10,Rockshore Cider,Cider,1,6.2,2.55,Staff C,6.2,2.55,3.65
TXN000090,2025-02-21,16:35,Beamish,Beer,1,5.8,2.05,Staff F,5.8,2.05,3.75
TXN000090,2025-02-21,16:35,Guinness,Beer,1,5.9,2.15,Staff F,5.9,2.15,3.75
TXN000091,2025-08-23,19:30,Baby Guinness Shot,Spirits,1,6.8,2.1,Staff A,6.8,2.1,4.7
TXN000092,2025-11-29,23:55,Guinness,Beer,3,5.9,2.15,Staff D,17.7,6.45,11.25
TXN000092,2025-11-29,23:55,Baby Guinness Shot,Spirits,4,6.9,2.1,Staff D,27.6,8.4,19.2
TXN000093,2025-04-05,17:15,Tequila Shot,Spirits,1,6.9,1.9,Staff C,6.9,1.9,5.0
TXN000094,2025-06-12,21:35,Carlsberg,Beer,3,5.9,2.25,Staff H,17.7,6.75,10.95
TXN000094,2025-06-12,21:35,Tayto,Snacks,1,1.8,0.75,Staff H,1.8,0.75,1.05
TXN000094,2025-06-12,21:35,Madri,Beer,1,6.3,2.65,Staff H,6.3,2.65,3.65
TXN000094,2025-06-12,21:35,Sambuca Shot,Spirits,4,6.8,1.9,Staff H,27.2,7.6,19.6
TXN000094,2025-06-12,21:35,Baby Guinness Shot,Spirits,1,6.8,2.1,Staff H,6.8,2.1,4.7
TXN000095,2025-02-08,23:25,Vodka White Lemonade,Spirits,1,7.6,2.2,Staff B,7.6,2.2,5.4
TXN000095,2025-02-08,23:25,Beamish,Beer,1,5.8,2.05,Staff B,5.8,2.05,3.75
TXN000095,2025-02-08,23:25,Vodka Red Bull,Spirits,1,8.8,3.0,Staff B,8.8,3.0,5.8
TXN000095,2025-02-08,23:25,Guinness,Beer,2,5.9,2.15,Staff B,11.8,4.3,7.5
TXN000095,2025-02-08,23:25,Margarita,Cocktails,2,10.8,3.35,Staff B,21.6,6.7,14.9
TXN000096,2025-12-26,20:35,Red Bull,Soft Drink,2,4.2,1.55,Staff D,8.4,3.1,5.3
TXN000096,2025-12-26,20:35,Scampi Fries,Snacks,3,2.0,0.85,Staff D,6.0,2.55,3.45
TXN000096,2025-12-26,20:35,Vodka Coke,Spirits,2,7.6,2.25,Staff D,15.2,4.5,10.7
TXN000096,2025-12-26,20:35,Guinness,Beer,2,5.9,2.15,Staff D,11.8,4.3,7.5
TXN000096,2025-12-26,20:35,Old Fashioned,Cocktails,1,11.5,3.95,Staff D,11.5,3.95,7.55
TXN000097,2025-05-03,19:00,Tayto,Snacks,1,1.7,0.75,Staff D,1.7,0.75,0.95
TXN000098,2025-08-17,15:10,Rockshore Cider,Cider,2,6.2,2.55,Staff E,12.4,5.1,7.3
TXN000099,2025-04-11,00:45,Sambuca Shot,Spirits,1,6.9,1.9,Staff D,6.9,1.9,5.0
TXN000099,2025-04-11,00:45,Blue WKD,Alcopops,1,6.3,2.65,Staff D,6.3,2.65,3.65
TXN000100,2025-06-28,00:15,Jagerbomb,Spirits,2,8.5,3.1,Staff A,17.0,6.2,10.8
TXN000100,2025-06-28,00:15,Vodka White Lemonade,Spirits,1,7.6,2.2,Staff A,7.6,2.2,5.4
TXN000100,2025-06-28,00:15,Heineken,Beer,3,6.1,2.35,Staff A,18.3,7.05,11.25
TXN000100,2025-06-28,00:15,Smirnoff Ice,Alcopops,1,6.3,2.7,Staff A,6.3,2.7,3.6
TXN000100,2025-06-28,00:15,Guinness,Beer,3,5.9,2.15,Staff A,17.7,6.45,11.25
TXN000101,2025-03-28,20:25,Club Orange,Soft Drink,4,3.4,0.95,Staff B,13.6,3.8,9.8
TXN000101,2025-03-28,20:25,Pornstar Martini,Cocktails,3,11.5,3.75,Staff B,34.5,11.25,23.25
TXN000102,2025-12-29,21:25,Malibu Dash,Spirits,1,7.4,2.15,Staff I,7.4,2.15,5.25
TXN000103,2025-09-20,22:35,Birra Moretti,Beer,3,6.4,2.75,Staff D,19.2,8.25,10.95
TXN000103,2025-09-20,22:35,Vodka Red Bull,Spirits,1,8.8,3.0,Staff D,8.8,3.0,5.8
TXN000103,2025-09-20,22:35,Vodka Coke,Spirits,1,7.6,2.25,Staff D,7.6,2.25,5.35
TXN000103,2025-09-20,22:35,Tequila Shot,Spirits,3,6.9,1.9,Staff D,20.7,5.7,15.0
TXN000104,2025-02-08,23:45,Vodka Red Bull,Spirits,3,8.8,3.0,Staff F,26.4,9.0,17.4
TXN000105,2025-09-11,22:00,Vodka Coke,Spirits,2,7.6,2.25,Staff D,15.2,4.5,10.7
TXN000106,2025-11-11,21:15,Tequila Shot,Spirits,6,6.9,1.9,Staff D,41.4,11.4,30.0
TXN000107,2025-01-22,22:15,Bulmers,Cider,1,6.3,2.6,Staff G,6.3,2.6,3.7
TXN000108,2025-04-12,01:20,Jagerbomb,Spirits,4,8.5,3.1,Staff C,34.0,12.4,21.6
TXN000108,2025-04-12,01:20,Guinness,Beer,1,5.9,2.15,Staff C,5.9,2.15,3.75
TXN000109,2025-06-05,21:40,Merlot,Wine,1,8.2,3.2,Staff E,8.2,3.2,5.0
TXN000110,2025-11-28,15:50,Heineken,Beer,1,6.1,2.35,Staff E,6.1,2.35,3.75
TXN000110,2025-11-28,15:50,Budweiser,Beer,1,6.0,2.35,Staff E,6.0,2.35,3.65
TXN000111,2025-12-19,15:15,Vodka Coke,Spirits,1,7.6,2.25,Staff G,7.6,2.25,5.35
TXN000112,2025-10-17,23:35,Vodka White Lemonade,Spirits,1,7.6,2.2,Staff I,7.6,2.2,5.4
TXN000112,2025-10-17,23:35,Vodka Red Bull,Spirits,1,8.8,3.0,Staff I,8.8,3.0,5.8
TXN000113,2025-03-28,23:50,Hot and Spicy Peanuts,Snacks,1,2.1,0.9,Staff H,2.1,0.9,1.2
TXN000113,2025-03-28,23:50,Vodka Red Bull,Spirits,1,8.8,3.0,Staff H,8.8,3.0,5.8
TXN000113,2025-03-28,23:50,Budweiser,Beer,3,6.0,2.35,Staff H,18.0,7.05,10.95
TXN000113,2025-03-28,23:50,Aperol Spritz,Cocktails,1,10.5,3.15,Staff H,10.5,3.15,7.35
TXN000113,2025-03-28,23:50,Margarita,Cocktails,1,10.8,3.35,Staff H,10.8,3.35,7.45
TXN000114,2025-08-24,20:05,Vodka Coke,Spirits,3,7.6,2.25,Staff G,22.8,6.75,16.05
TXN000114,2025-08-24,20:05,Guinness,Beer,1,5.9,2.15,Staff G,5.9,2.15,3.75
TXN000115,2025-11-20,19:25,Smirnoff Ice,Alcopops,3,6.3,2.7,Staff A,18.9,8.1,10.8
TXN000115,2025-11-20,19:25,Guinness,Beer,1,5.9,2.15,Staff A,5.9,2.15,3.75
TXN000116,2025-12-17,23:05,Merlot,Wine,2,8.2,3.2,Staff C,16.4,6.4,10.0
TXN000116,2025-12-17,23:05,Baby Guinness Shot,Spirits,1,6.8,2.1,Staff C,6.8,2.1,4.7
TXN000117,2025-12-13,22:40,House White Wine,Wine,2,7.2,2.7,Staff H,14.4,5.4,9.0
TXN000118,2025-11-22,00:45,Vodka White Lemonade,Spirits,1,7.6,2.2,Staff A,7.6,2.2,5.4
TXN000118,2025-11-22,00:45,Vodka Red Bull,Spirits,1,8.8,3.0,Staff A,8.8,3.0,5.8
TXN000118,2025-11-22,00:45,Guinness,Beer,4,5.9,2.15,Staff A,23.6,8.6,15.0
TXN000118,2025-11-22,00:45,Carlsberg,Beer,3,5.9,2.25,Staff A,17.7,6.75,10.95
TXN000118,2025-11-22,00:45,Blue WKD,Alcopops,1,6.3,2.65,Staff A,6.3,2.65,3.65
TXN000119,2025-09-17,20:05,Corona,Beer,2,6.4,2.8,Staff C,12.8,5.6,7.2
TXN000120,2025-10-02,22:10,Rose Wine,Wine,1,7.5,2.9,Staff E,7.5,2.9,4.6
TXN000120,2025-10-02,22:10,Aperol Spritz,Cocktails,1,10.5,3.15,Staff E,10.5,3.15,7.35
TXN000120,2025-10-02,22:10,Tequila Shot,Spirits,6,6.9,1.9,Staff E,41.4,11.4,30.0
TXN000121,2025-11-14,19:50,Vodka White Lemonade,Spirits,1,7.6,2.2,Staff E,7.6,2.2,5.4
TXN000121,2025-11-14,19:50,Hop House 13,Beer,1,6.1,2.4,Staff E,6.1,2.4,3.7
TXN000122,2025-02-07,20:30,Vodka Coke,Spirits,1,7.6,2.25,Staff D,7.6,2.25,5.35
TXN000122,2025-02-07,20:30,Madri,Beer,2,6.3,2.65,Staff D,12.6,5.3,7.3
TXN000122,2025-02-07,20:30,Sambuca Shot,Spirits,1,6.8,1.9,Staff D,6.8,1.9,4.9
TXN000123,2025-12-19,19:15,Mojito,Cocktails,4,10.5,3.25,Staff E,42.0,13.0,29.0
TXN000124,2025-06-03,21:50,Gin Tonic,Spirits,1,7.8,2.35,Staff G,7.8,2.35,5.45
TXN000125,2025-02-01,20:15,Bulmers,Cider,3,6.3,2.6,Staff B,18.9,7.8,11.1
TXN000126,2025-02-01,13:35,Heineken,Beer,1,6.1,2.35,Staff G,6.1,2.35,3.75
TXN000127,2025-03-26,19:45,Guinness,Beer,2,5.9,2.15,Staff D,11.8,4.3,7.5
TXN000128,2025-07-18,21:05,Vodka White Lemonade,Spirits,1,7.6,2.2,Staff D,7.6,2.2,5.4
TXN000129,2025-07-21,18:30,Guinness,Beer,1,5.9,2.15,Staff H,5.9,2.15,3.75
TXN000129,2025-07-21,18:30,Pornstar Martini,Cocktails,1,11.5,3.75,Staff H,11.5,3.75,7.75
TXN000130,2025-07-23,20:15,Coke,Soft Drink,2,3.4,0.95,Staff F,6.8,1.9,4.9
TXN000131,2025-05-03,17:25,Rockshore Cider,Cider,2,6.2,2.55,Staff A,12.4,5.1,7.3
